timestamp,request_id,severity,alert_type,message
2026-09-17T06:06:46.469979+00:00,T02,MEDIUM,POLICY_DENIAL,Access denied for u_hr to FINANCE_DB: User role is not authorized for this resource; Source segment is blocked by micro-segmentation policy
2026-09-17T06:06:46.469986+00:00,T03,MEDIUM,POLICY_DENIAL,Access denied for u_fin to FINANCE_DB: Device is not compliant
2026-09-17T06:06:46.469995+00:00,T05,MEDIUM,POLICY_DENIAL,Access denied for u_guest to HR_RECORDS: User role is not authorized for this resource; MFA is required but not enabled; Managed device is required; Encrypted device is required for sensitive resource; Source segment is blocked by micro-segmentation policy
2026-09-17T06:06:46.469999+00:00,T06,MEDIUM,POLICY_DENIAL,Access denied for u_guest to ADMIN_CONSOLE: User role is not authorized for this resource; MFA is required but not enabled; Managed device is required; Device is not compliant; Encrypted device is required for sensitive resource; Device risk score is too high; Source segment is blocked by micro-segmentation policy
2026-09-17T06:06:46.470005+00:00,T07,MEDIUM,POLICY_DENIAL,Access denied for u_hr to HR_RECORDS: Source segment is blocked by micro-segmentation policy
2026-09-17T06:06:46.470007+00:00,T08A,MEDIUM,POLICY_DENIAL,Access denied for u_guest to FINANCE_DB: User role is not authorized for this resource; MFA is required but not enabled; Managed device is required; Device is not compliant; Encrypted device is required for sensitive resource; Device risk score is too high; Source segment is blocked by micro-segmentation policy
2026-09-17T06:06:46.470010+00:00,T08B,MEDIUM,POLICY_DENIAL,Access denied for u_guest to FINANCE_DB: User role is not authorized for this resource; MFA is required but not enabled; Managed device is required; Device is not compliant; Encrypted device is required for sensitive resource; Device risk score is too high; Source segment is blocked by micro-segmentation policy
2026-09-17T06:06:46.470010+00:00,T08B,HIGH,REPEATED_DENIALS,Device d_unknown triggered repeated denied access attempts
2026-09-17T06:06:46.470013+00:00,T08C,MEDIUM,POLICY_DENIAL,Access denied for u_guest to FINANCE_DB: User role is not authorized for this resource; MFA is required but not enabled; Managed device is required; Device is not compliant; Encrypted device is required for sensitive resource; Device risk score is too high; Source segment is blocked by micro-segmentation policy
2026-09-17T06:06:46.470013+00:00,T08C,HIGH,REPEATED_DENIALS,Device d_unknown triggered repeated denied access attempts
2026-09-17T06:06:46.470016+00:00,T09,MEDIUM,POLICY_DENIAL,Access denied for u_fin to FINANCE_DB: Device is not compliant
2026-09-17T06:06:46.470021+00:00,T11,MEDIUM,POLICY_DENIAL,Access denied for u_disabled to HR_RECORDS: Inactive user account; Device is not assigned to requesting user
2026-09-17T06:06:46.470021+00:00,T11,HIGH,REPEATED_DENIALS,Device d_hr_laptop triggered repeated denied access attempts
