timestamp,request_id,scenario,user_id,device_id,source_segment,resource_id,decision,expected_decision,policy_result,reason
2026-09-17T06:06:46.469966+00:00,T01,HR user accesses HR records from compliant device,u_hr,d_hr_laptop,HR,HR_RECORDS,ALLOW,ALLOW,PASS,Access approved by Zero Trust policy
2026-09-17T06:06:46.469979+00:00,T02,HR user attempts Finance database access,u_hr,d_hr_laptop,HR,FINANCE_DB,DENY,DENY,PASS,User role is not authorized for this resource; Source segment is blocked by micro-segmentation policy
2026-09-17T06:06:46.469986+00:00,T03,Finance user uses noncompliant device,u_fin,d_fin_bad,FINANCE,FINANCE_DB,DENY,DENY,PASS,Device is not compliant
2026-09-17T06:06:46.469993+00:00,T04,Admin accesses admin console from trusted segment,u_admin,d_admin,IT_ADMIN,ADMIN_CONSOLE,ALLOW,ALLOW,PASS,Access approved by Zero Trust policy
2026-09-17T06:06:46.469995+00:00,T05,Guest attempts internal HR access,u_guest,d_guest,GUEST,HR_RECORDS,DENY,DENY,PASS,User role is not authorized for this resource; MFA is required but not enabled; Managed device is required; Encrypted device is required for sensitive resource; Source segment is blocked by micro-segmentation policy
2026-09-17T06:06:46.469999+00:00,T06,High-risk unmanaged device attempts admin access,u_guest,d_unknown,GUEST,ADMIN_CONSOLE,DENY,DENY,PASS,User role is not authorized for this resource; MFA is required but not enabled; Managed device is required; Device is not compliant; Encrypted device is required for sensitive resource; Device risk score is too high; Source segment is blocked by micro-segmentation policy
2026-09-17T06:06:46.470005+00:00,T07,Valid HR user attempts access from wrong segment,u_hr,d_hr_laptop,GUEST,HR_RECORDS,DENY,DENY,PASS,Source segment is blocked by micro-segmentation policy
2026-09-17T06:06:46.470007+00:00,T08A,Repeated failed attempt 1,u_guest,d_unknown,GUEST,FINANCE_DB,DENY,DENY,PASS,User role is not authorized for this resource; MFA is required but not enabled; Managed device is required; Device is not compliant; Encrypted device is required for sensitive resource; Device risk score is too high; Source segment is blocked by micro-segmentation policy
2026-09-17T06:06:46.470010+00:00,T08B,Repeated failed attempt 2,u_guest,d_unknown,GUEST,FINANCE_DB,DENY,DENY,PASS,User role is not authorized for this resource; MFA is required but not enabled; Managed device is required; Device is not compliant; Encrypted device is required for sensitive resource; Device risk score is too high; Source segment is blocked by micro-segmentation policy
2026-09-17T06:06:46.470013+00:00,T08C,Repeated failed attempt 3,u_guest,d_unknown,GUEST,FINANCE_DB,DENY,DENY,PASS,User role is not authorized for this resource; MFA is required but not enabled; Managed device is required; Device is not compliant; Encrypted device is required for sensitive resource; Device risk score is too high; Source segment is blocked by micro-segmentation policy
2026-09-17T06:06:46.470016+00:00,T09,Device remains noncompliant after prior denial,u_fin,d_fin_bad,FINANCE,FINANCE_DB,DENY,DENY,PASS,Device is not compliant
2026-09-17T06:06:46.470019+00:00,T10,Guest accesses public portal,u_guest,d_guest,GUEST,PUBLIC_PORTAL,ALLOW,ALLOW,PASS,Access approved by Zero Trust policy
2026-09-17T06:06:46.470021+00:00,T11,Inactive account attempts access,u_disabled,d_hr_laptop,HR,HR_RECORDS,DENY,DENY,PASS,Inactive user account; Device is not assigned to requesting user
